path,ref,hyp
data/librispeech_test_other/sample_0.wav,i am from the cutter lying off the coast,i am from the car lying off the coast
data/librispeech_test_other/sample_1.wav,don't cry he said i was obliged to come,don't cry he said i was obliged to come
data/librispeech_test_other/sample_2.wav,and and you have not found out anything came in quick frightened tones,and and you have not found out anything came in quick frightened tones
data/librispeech_test_other/sample_3.wav,i wish you would believe me that i am in as great trouble about it as you are,i wish you would believe me that i am in as great trouble about it as you are
data/librispeech_test_other/sample_4.wav,that my father sir risdon graeme has smuggled goods here,that my father sir risdon graham has smuggled goods hear
data/librispeech_test_other/sample_5.wav,he could not help it he hates the smugglers you shall not tell,he could not help it he hates the smugglers you shall not tell
data/librispeech_test_other/sample_6.wav,pray pray say you will not archy was silent,pray pray say you will not arche was silent
data/librispeech_test_other/sample_7.wav,then as archy stood in the dark literally aghast with astonishment he heard the faint rustling once more and again all was silent,then as archi stood in the dark literally aghased with astonishment he heard the faint rustling once more and again all was silent
data/librispeech_test_other/sample_8.wav,he laughed but it was a curious kind of laugh full of vexation injured amour propre as the french call our love of our own dignity of which archibald raystoke in the full flush of his young belief in his importance as a british officer had a pretty good stock,he laughed but it was a curious kind of laugh full of vexation injured amou propra as the prench callar alove of our own dignity of which archabald ray stroke in the full flush of his young belief in his importance as a british officer had a petty good stock
data/librispeech_test_other/sample_9.wav,it all comes of dressing up in this stupid way like a rough fisher lad,at all comes of dressing up in this stupid way like a rough fissher lad
data/librispeech_test_other/sample_10.wav,cold water came on this idea directly as he recalled the fact that the darkness was intense and celia could not have seen him,cold water came on this idea directly as he recalled the fact that the darkness was intense and seylia could not have seen him
data/librispeech_test_other/sample_11.wav,i'll soon show them that i am not going to be played with,i'll soon show them that i am not going to be played with
data/librispeech_test_other/sample_12.wav,for it suddenly occurred to him that he was not only a prisoner but a prisoner in the power of a very reckless set of people who would stop at nothing,for it suddenly occurred to him that he was not only a prisoner but a prisoner in the power of a very reckless set of people who would stop at nothing
data/librispeech_test_other/sample_13.wav,no he thought to himself i don't believe they would kill me but they would knock me about,no he thought to himself i don't believe they would kill me but they would not me about
data/librispeech_test_other/sample_14.wav,the kick he had received was a foretaste of what he might expect and after a little consideration he came to the conclusion that his duty was to escape and get back to the cutter as quickly as he could,the kickhe had received was a foretaste of what he might expect and after a little consideration he came to the conclusion that his duty was to escape and get back to the cutter as quickly as he could
data/librispeech_test_other/sample_15.wav,to do this he must scheme lie hid till morning then make for the nearest point and signal for help unless a boat's crew were already searching for him how to escape,to do this he must schem lie hid till morning than make for the nearest point and signal for help unlus the boat's crew were already searching for him how to escape
