path,ref,beam,sf,rescore
data/librispeech_test_other/sample_7.wav,then as archy stood in the dark literally aghast with astonishment he heard the faint rustling once more and again all was silent,then as archi stood in the dark literally aghased with astonishment he heard the faint rustling once more and again all was silent,then as arche stood in the dark literally a ghased with astonishment he heard the faint rustling once more and again all was silent,then as archi stood in the dark literally aghased with astonishment he heard the faint rustling once more and again all was silent
data/librispeech_test_other/sample_8.wav,he laughed but it was a curious kind of laugh full of vexation injured amour propre as the french call our love of our own dignity of which archibald raystoke in the full flush of his young belief in his importance as a british officer had a pretty good stock,he laughed but it was a curious kind of laugh full of vexation injured amou propra as the prench callar alove of our own dignity of which archabald ray stroke in the full flush of his young belief in his importance as a british officer had a petty good stock,he laughed but it was a curious kind of laugh full of vexation injured amou propra as the prench callar a love of our own dignity of which archabald ray stroke in the full flush of his young belief in his importance as a british officer had a petty good stock,he laughed but it was a curious kind of laugh full of vexation injured amou propra as the prench callar alove of our own dignity of which archabald ray stroke in the full flush of his young belief in his importance as a british officer had a petty good stock
data/librispeech_test_other/sample_14.wav,the kick he had received was a foretaste of what he might expect and after a little consideration he came to the conclusion that his duty was to escape and get back to the cutter as quickly as he could,the kickhe had received was a foretaste of what he might expect and after a little consideration he came to the conclusion that his duty was to escape and get back to the cutter as quickly as he could,the kick he had received was a fore taste of what he might expect and after a little consideration he came to the conclusion that his duty was to escape and get back to the cutter as quickly as he could,the kick he had received was a fore taste of what he might expect and after a little consideration he came to the conclusion that his duty was to escape and get back to the cutter as quickly as he could
data/librispeech_test_other/sample_24.wav,a fellow who was shut up in prison for life might do it he said but not in a case like this,a fellow who as shut up in prison for life might doit he said but not in a case like this,a fellow who as shut up in prison for life might do it he said but not in a case like this,a fellow who as shut up in prison for life might do it he said but not in a case like this
data/librispeech_test_other/sample_28.wav,stop here till sir risdon comes down and tell him i'm very sorry that we should have cleared out last night only a born fool saw jerry nandy's lobster boat coming into the cove and came running to say it was a party from the cutter yes father,stop here till sir rysdon comes down and tell him i'm very sorry that we shoul have cleared out last night only a born fool saw jerry nandy's lobsterboat coming into the cove and came running to say it was a party from the cutter yes father,stop here till sir rysdon comes down and tell him i'm very sorry that we shoul have cleared out last night only a born fool saw jerry nandy's lobster boat coming into the cove and came running to say it was a party from the cutter yes father,stop here till sir rysdon comes down and tell him i'm very sorry that we shoul have cleared out last night only a born fool saw jerry nandy's lobster boat coming into the cove and came running to say it was a party from the cutter yes father
data/librispeech_test_other/sample_30.wav,the dull sound of departing steps and a low whistling sound coming down through the skylight window into the cabin where archy raystoke lay with his heavy eyelids pressed down by sleep,the dull sound of departing steps and a low whistling sound coming down through the skylight window into the cabin where archy raystroke lay with his heavy eyelids pressed down by sleep,the dull sound of departing steps and a low whistling sound coming down through the skylight window into the cabin where archy ray stroke lay with his heavy iyelids pressed down by sleep,the dull sound of departing steps and a low whistling sound coming down through the skylight window into the cabin where archy raystroke lay with his heavy eyelids pressed down by sleep
data/librispeech_test_other/sample_32.wav,but how queer for mister gurr to be talking like that to andrew teal the boy who helped the cook,but how queer for mister gurver to be talking like that to andreuteal the boy who helped the cook,but how queer for mister gurver to be talking like that to andreu teal the boy who helped the cook,but how queer for mister gurver to be talking like that to andreuteal the boy who helped the cook
data/librispeech_test_other/sample_33.wav,and why did andy call mister gurr father,and why did andy call mister gurfather,and why did andy call mister gur father,and why did andy call mister gur father
data/librispeech_test_other/sample_56.wav,but at the end of five minutes he stopped and thrust back the dirk into its sheath,but at the end of five minutes he stopped and thrust back the dirk into i sheefh,but at the end of five minutes he stopped and thrust back the dirk in to a sheefh,but at the end of five minutes he stopped and thrust back the dirk into i sheefh
data/librispeech_test_other/sample_67.wav,it was your turn yesterday it's mine to day what a game,it was your turn yesterday it's mine today what a game,it was your turn yesterday it's mine to day what a game,it was your turn yesterday it's mine to day what a game
